Epoch 10 Step 320/506  loss=0.007979  lr=2.857e-03
Epoch 10 Step 340/506  loss=0.007971  lr=2.841e-03
Epoch 10 Step 360/506  loss=0.007955  lr=2.825e-03
Epoch 10 Step 380/506  loss=0.007936  lr=2.809e-03
Epoch 10 Step 400/506  loss=0.007921  lr=2.793e-03
Epoch 10 Step 420/506  loss=0.007921  lr=2.776e-03
Epoch 10 Step 440/506  loss=0.007921  lr=2.760e-03
Epoch 10 Step 480/506  loss=0.007924  lr=2.728e-03
Epoch 10 Step 500/506  loss=0.007924  lr=2.711e-03
Epoch 10 completed in 650.9s  avg_loss=0.007921  lr=2.706e-03

Validation loss: 0.002715

Epoch 11 Step 20/506  loss=0.007711  lr=2.690e-03
Epoch 11 Step 40/506  loss=0.007797  lr=2.674e-03
Epoch 11 Step 60/506  loss=0.007758  lr=2.658e-03
Epoch 11 Step 80/506  loss=0.007737  lr=2.641e-03
Epoch 11 Step 100/506  loss=0.007792  lr=2.625e-03
Epoch 11 Step 120/506  loss=0.007792  lr=2.609e-03
Epoch 11 Step 140/506  loss=0.007767  lr=2.592e-03
Epoch 11 Step 160/506  loss=0.007751  lr=2.576e-03
Epoch 11 Step 180/506  loss=0.007748  lr=2.560e-03
Epoch 11 Step 200/506  loss=0.007731  lr=2.543e-03
Epoch 11 Step 220/506  loss=0.007718  lr=2.527e-03
Epoch 11 Step 240/506  loss=0.007697  lr=2.511e-03
Epoch 11 Step 260/506  loss=0.007696  lr=2.494e-03
Epoch 11 Step 280/506  loss=0.007677  lr=2.478e-03
Epoch 11 Step 300/506  loss=0.007684  lr=2.462e-03
Epoch 11 Step 320/506  loss=0.007680  lr=2.445e-03
Epoch 11 Step 340/506  loss=0.007671  lr=2.429e-03
Epoch 11 Step 360/506  loss=0.007661  lr=2.413e-03
Epoch 11 Step 380/506  loss=0.007658  lr=2.396e-03
Epoch 11 Step 400/506  loss=0.007655  lr=2.380e-03
Epoch 11 Step 420/506  loss=0.007655  lr=2.364e-03
Epoch 11 Step 440/506  loss=0.007642  lr=2.347e-03
Epoch 11 Step 460/506  loss=0.007631  lr=2.331e-03
Epoch 11 Step 480/506  loss=0.007637  lr=2.315e-03
Epoch 11 Step 500/506  loss=0.007636  lr=2.298e-03
Epoch 11 completed in 645.1s  avg_loss=0.007633  lr=2.294e-03

Validation loss: 0.003025

Epoch 12 Step 20/506  loss=0.007369  lr=2.277e-03
Epoch 12 Step 40/506  loss=0.007298  lr=2.261e-03
Epoch 12 Step 60/506  loss=0.007334  lr=2.245e-03
Epoch 12 Step 100/506  loss=0.007320  lr=2.212e-03
Epoch 12 Step 120/506  loss=0.007319  lr=2.196e-03
Epoch 12 Step 140/506  loss=0.007297  lr=2.180e-03
Epoch 12 Step 160/506  loss=0.007308  lr=2.164e-03
Epoch 12 Step 180/506  loss=0.007291  lr=2.147e-03
Epoch 12 Step 200/506  loss=0.007301  lr=2.131e-03
Epoch 12 Step 220/506  loss=0.007313  lr=2.115e-03
Epoch 12 Step 240/506  loss=0.007303  lr=2.099e-03
Epoch 12 Step 260/506  loss=0.007305  lr=2.083e-03
Epoch 12 Step 280/506  loss=0.007295  lr=2.067e-03
Epoch 12 Step 300/506  loss=0.007304  lr=2.051e-03
Epoch 12 Step 320/506  loss=0.007306  lr=2.035e-03
Epoch 12 Step 340/506  loss=0.007300  lr=2.019e-03
Epoch 12 Step 360/506  loss=0.007301  lr=2.003e-03
Epoch 12 Step 380/506  loss=0.007297  lr=1.987e-03
Epoch 12 Step 400/506  loss=0.007302  lr=1.971e-03
Epoch 12 Step 420/506  loss=0.007296  lr=1.955e-03
Epoch 12 Step 440/506  loss=0.007293  lr=1.939e-03
Epoch 12 Step 460/506  loss=0.007292  lr=1.923e-03
Epoch 12 Step 480/506  loss=0.007292  lr=1.907e-03
Epoch 12 Step 500/506  loss=0.007287  lr=1.891e-03
Epoch 12 completed in 643.0s  avg_loss=0.007285  lr=1.886e-03

Validation loss: 0.002729

Epoch 13 Step 20/506  loss=0.006935  lr=1.870e-03
Epoch 13 Step 40/506  loss=0.007053  lr=1.855e-03
Epoch 13 Step 60/506  loss=0.007033  lr=1.839e-03
Epoch 13 Step 80/506  loss=0.007001  lr=1.823e-03
Epoch 13 Step 100/506  loss=0.007017  lr=1.807e-03
Epoch 13 Step 120/506  loss=0.007049  lr=1.792e-03
Epoch 13 Step 140/506  loss=0.007078  lr=1.776e-03
Epoch 13 Step 160/506  loss=0.007068  lr=1.760e-03
Epoch 13 Step 180/506  loss=0.007052  lr=1.745e-03
Epoch 13 Step 200/506  loss=0.007033  lr=1.729e-03
Epoch 13 Step 220/506  loss=0.007034  lr=1.714e-03
Epoch 13 Step 240/506  loss=0.007038  lr=1.698e-03
Epoch 13 Step 260/506  loss=0.007029  lr=1.683e-03
Epoch 13 Step 280/506  loss=0.007012  lr=1.667e-03
Epoch 13 Step 300/506  loss=0.007016  lr=1.652e-03
Epoch 13 Step 320/506  loss=0.007010  lr=1.637e-03
Epoch 13 Step 340/506  loss=0.007014  lr=1.621e-03
Epoch 13 Step 360/506  loss=0.007011  lr=1.606e-03
Epoch 13 Step 380/506  loss=0.007019  lr=1.591e-03
Epoch 13 Step 400/506  loss=0.007016  lr=1.576e-03
Epoch 13 Step 420/506  loss=0.007018  lr=1.560e-03
Epoch 13 Step 440/506  loss=0.007017  lr=1.545e-03
Epoch 13 Step 460/506  loss=0.007013  lr=1.530e-03
Epoch 13 Step 480/506  loss=0.007006  lr=1.515e-03
Epoch 13 Step 500/506  loss=0.007001  lr=1.500e-03
Epoch 13 completed in 642.8s  avg_loss=0.006999  lr=1.496e-03

Error displaying widget: model not found

Validation loss: 0.002758

Error displaying widget: model not found

Epoch 14 Step 20/506  loss=0.006861  lr=1.481e-03
Epoch 14 Step 40/506  loss=0.006831  lr=1.466e-03
Epoch 14 Step 60/506  loss=0.006836  lr=1.451e-03
Epoch 14 Step 80/506  loss=0.006863  lr=1.436e-03
Epoch 14 Step 100/506  loss=0.006860  lr=1.421e-03
Epoch 14 Step 120/506  loss=0.006870  lr=1.407e-03
Epoch 14 Step 140/506  loss=0.006871  lr=1.392e-03
Epoch 14 Step 160/506  loss=0.006861  lr=1.377e-03
Epoch 14 Step 180/506  loss=0.006854  lr=1.363e-03
Epoch 14 Step 200/506  loss=0.006843  lr=1.348e-03
Epoch 14 Step 220/506  loss=0.006833  lr=1.334e-03
Epoch 14 Step 240/506  loss=0.006825  lr=1.319e-03
Epoch 14 Step 260/506  loss=0.006821  lr=1.305e-03
Epoch 14 Step 280/506  loss=0.006816  lr=1.291e-03
Epoch 14 Step 300/506  loss=0.006809  lr=1.277e-03
Epoch 14 Step 320/506  loss=0.006801  lr=1.262e-03
Epoch 14 Step 340/506  loss=0.006798  lr=1.248e-03
Epoch 14 Step 360/506  loss=0.006798  lr=1.234e-03
Epoch 14 Step 380/506  loss=0.006786  lr=1.220e-03
